Age,Age levels,BusinessTravel,Department,JobRole,Job Level,Satisfication,Consistency,Managers cosnsistency,Experience,Salary Range (K),EducationField,Gender,Distance to Home,OverTime,WLB,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,DailyRate,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,JobInvolvement,JobLevel,MonthlyRate
41,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,0 to 5,Experienced,5 to 10,Life Sciences,Female,Very Close,Yes,Not Balanced,"$5,993",8,11,0,1102,3,8,6,4,0,5,94,3,2,19479
49,fourteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 2,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Male,Very Close,No,Balanced,"$5,130",1,23,3,279,4,10,10,7,1,7,61,2,2,24907
37,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Experienced,1 to 5,Other,Male,Very Close,Yes,Balanced,"$2,090",6,15,3,1373,3,7,0,0,0,0,92,2,1,2396
33,thirteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 1,High,6 to 10,0 to 5,Experienced,1 to 5,Life Sciences,Female,Very Close,Yes,Balanced,"$2,909",1,11,3,1392,3,8,8,7,3,0,56,3,1,23159
27,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$3,468",9,12,3,591,3,6,2,2,2,2,40,3,1,16632
32,thirteenth,Travel Frequently,Research & Dev.,Laboratory Technician,Level 1,High,6 to 10,6 to 10,Experienced,1 to 5,Life Sciences,Male,Very Close,No,Not Balanced,"$3,068",0,13,2,1005,3,8,7,7,3,6,79,3,1,11864
59,fifteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Advanced,1 to 5,Medical,Female,Very Close,Yes,Not Balanced,"$2,670",4,20,3,1324,4,12,1,0,0,0,81,4,1,9964
30,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Far,No,Balanced,"$2,693",1,22,2,1358,4,1,1,0,0,0,67,3,1,13335
38,thirteenth,Travel Frequently,Research & Dev.,Manufacturing Director,Level 3,High,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Male,Far,No,Balanced,"$9,526",0,21,2,216,4,10,9,7,1,8,44,2,3,8787
36,thirteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Medical,Male,Far,No,Not Balanced,"$5,237",6,13,3,1299,3,17,7,7,7,7,94,3,2,16577
35,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Close,No,Balanced,"$2,426",0,13,5,809,3,6,5,4,0,3,84,4,1,16479
29,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 2,High,6 to 10,6 to 10,Advanced,1 to 5,Life Sciences,Female,Close,Yes,Balanced,"$4,193",0,12,3,153,3,10,9,5,0,8,49,2,2,12682
31,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Far,No,Not Balanced,"$2,911",1,17,1,670,3,5,5,2,4,3,31,3,1,15170
34,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Intermediate,1 to 5,Medical,Male,Close,No,Balanced,"$2,661",0,11,2,1346,3,3,2,2,1,2,93,3,1,8758
28,twenteth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Far,Yes,Balanced,"$2,028",5,14,4,103,3,6,4,2,0,3,50,2,1,12947
29,twenteth,Travel Rarely,Research & Dev.,Manufacturing Director,Level 3,Miduem,6 to 10,6 to 10,Advanced,5 to 10,Life Sciences,Female,Far,No,Balanced,"$9,980",1,11,1,1389,3,10,10,9,8,8,51,4,3,10195
32,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Low,6 to 10,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,Yes,Not Balanced,"$3,298",0,12,5,334,3,7,6,2,0,5,80,4,1,15053
22,twenteth,Non-Travel,Research & Dev.,Laboratory Technician,Level 1,High,0 to 5,0 to 5,Entry,1 to 5,Medical,Male,Close,Yes,Not Balanced,"$2,935",1,13,2,1123,3,1,1,0,0,0,96,4,1,7324
53,fifteenth,Travel Rarely,Sales,Manager,Level 4,Low,21 to 30,6 to 10,Expert,15 to 20,Life Sciences,Female,Very Close,No,Balanced,"$15,427",2,16,3,1219,3,31,25,8,3,7,78,2,4,22021
38,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Experienced,1 to 5,Life Sciences,Male,Very Close,Yes,Balanced,"$3,944",5,11,3,371,3,6,3,2,1,2,45,3,1,4306
24,twenteth,Non-Travel,Research & Dev.,Manufacturing Director,Level 2,Low,0 to 5,0 to 5,Experienced,1 to 5,Other,Female,Close,No,Not Balanced,"$4,011",0,18,5,673,3,5,4,2,1,3,96,4,2,8232
36,thirteenth,Travel Rarely,Sales,Sales Representative,Level 1,Miduem,0 to 5,0 to 5,Advanced,1 to 5,Life Sciences,Male,Very Close,No,Balanced,"$3,407",7,23,4,1218,4,10,5,3,0,3,82,2,1,6986
34,thirteenth,Travel Rarely,Research & Dev.,Research Director,Level 3,Low,11 to 20,11 to 20,Advanced,10 to 15,Life Sciences,Female,Very Close,No,Balanced,"$11,994",0,11,4,419,3,13,12,6,2,11,53,3,3,21293
21,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Entry,1 to 5,Life Sciences,Male,Close,No,Balanced,"$1,232",1,14,6,391,3,0,0,0,0,0,96,3,1,19281
34,thirteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,960",2,11,2,699,3,8,4,2,1,3,83,3,1,17102
53,fifteenth,Travel Rarely,Research & Dev.,Manager,Level 5,Miduem,11 to 20,6 to 10,Expert,15 to 20,Other,Female,Very Close,No,Not Balanced,"$19,094",4,11,3,1282,3,26,14,13,4,8,58,3,5,10735
32,thirteenth,Travel Frequently,Research & Dev.,Research Scientist,Level 1,Miduem,6 to 10,6 to 10,Advanced,1 to 5,Life Sciences,Female,Close,Yes,Balanced,"$3,919",1,22,5,1125,4,10,10,2,6,7,72,1,1,4681
42,fourteenth,Travel Rarely,Sales,Sales Executive,Level 2,Miduem,6 to 10,0 to 5,Advanced,5 to 10,Marketing,Male,Very Close,No,Balanced,"$6,825",0,11,2,691,3,10,9,7,4,2,48,3,2,21173
44,fourteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 3,Low,21 to 30,11 to 20,Expert,10 to 15,Medical,Female,Very Close,No,Balanced,"$10,248",3,14,4,477,3,24,22,6,5,17,42,2,3,2094
46,fourteenth,Travel Rarely,Sales,Manager,Level 5,Miduem,0 to 5,0 to 5,Expert,15 to 20,Marketing,Female,Very Close,No,Not Balanced,"$18,947",3,12,2,705,3,22,2,2,2,1,83,3,5,22822
33,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,496",4,11,3,924,3,7,1,1,0,0,78,3,1,6670
44,fourteenth,Travel Rarely,Research & Dev.,Healthcare Representative,Level 2,High,0 to 5,0 to 5,Experienced,5 to 10,Other,Male,Very Close,Yes,Balanced,"$6,465",2,13,5,1459,3,9,4,2,1,3,41,3,2,19121
30,thirteenth,Travel Rarely,Research & Dev.,Laboratory Technician,Level 1,High,6 to 10,6 to 10,Advanced,1 to 5,Medical,Male,Very Close,No,Balanced,"$2,206",1,13,5,125,3,10,10,0,1,8,83,2,1,16117
39,thirteenth,Travel Rarely,Sales,Sales Representative,Level 2,High,0 to 5,0 to 5,Advanced,1 to 5,Technical Degree,Male,Very Close,No,Balanced,"$2,086",3,14,6,895,3,19,1,0,0,0,56,3,2,3335
24,twenteth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,Miduem,0 to 5,0 to 5,Experienced,1 to 5,Medical,Male,Very Close,Yes,Not Balanced,"$2,293",2,16,2,813,3,6,2,0,2,0,61,3,1,3020
43,fourteenth,Travel Rarely,Research & Dev.,Research Scientist,Level 1,High,0 to 5,0 to 5,Experienced,1 to 5,Medical,Female,Very Close,No,Not Balanced,"$2,645",1,12,3,1273,3,6,5,3,1,4,72,4,1,21923
50,fifteenth,Travel Rarely,Sales,Sales Representative,Level 1,Low,0 to 5,0 to 5,Intermediate,1 to 5,Marketing,Male,Very Close,Yes,Balanced,"$2,683",1,14,2,869,3,3,3,2,0,2,86,2,1,3810
